exam_id,course_id,exam_date,session,time,duration,created_at,updated_at
EXDPCE1033716,DPCE103,2025-01-30,MORNING,09:00:00,150,2025-01-23 22:38:13.716+00,2025-01-23 22:38:13.716+00
EXDPEC1013716,DPEC101,2025-01-30,MORNING,09:00:00,120,2025-01-23 22:38:13.716+00,2025-01-23 22:38:13.716+00
EXDPEE1033716,DPEE103,2025-01-30,MORNING,09:00:00,150,2025-01-23 22:38:13.716+00,2025-01-23 22:38:13.716+00
EXDPME1023716,DPME102,2025-01-30,MORNING,09:00:00,120,2025-01-23 22:38:13.716+00,2025-01-23 22:38:13.716+00
EXDPME104921,DPME104,2025-01-27,MORNING,09:00:00,120,2025-01-23 23:30:00.922403+00,2025-01-23 23:30:00.922403+00
